ZipCode,City,County
15928,DAVIDSVILLE,SOMERSET
15929,DILLTOWN,INDIANA
15930,DUNLO,CAMBRIA
15931,EBENSBURG,CAMBRIA
15934,ELTON,CAMBRIA
15942,MINERAL POINT,CAMBRIA
15943,NANTY GLO,CAMBRIA
15944,NEW FLORENCE,WESTMORELAND
15945,PARKHILL,CAMBRIA
15952,SALIX,CAMBRIA
15953,SEANOR,SOMERSET
15954,SEWARD,WESTMORELAND
15959,TIRE HILL,SOMERSET
15960,TWIN ROCKS,CAMBRIA
15961,VINTONDALE,CAMBRIA
15962,WILMORE,CAMBRIA
15963,WINDBER,SOMERSET
16001,BUTLER,BUTLER
16002,BUTLER,BUTLER
16003,BUTLER,BUTLER
16016,BOYERS,BUTLER
16017,BOYERS,BUTLER
16023,CABOT,BUTLER
16024,CALLERY,BUTLER
16025,CHICORA,BUTLER
16027,CONNOQUENESSING,BUTLER
16034,FENELTON,BUTLER
16035,FORESTVILLE,BUTLER
16036,FOXBURG,CLARION
16037,HARMONY,BUTLER
16046,MARS,BUTLER
16048,NORTH WASHINGTON,BUTLER
16049,PARKER,ARMSTRONG
16055,SARVER,BUTLER
16056,SAXONBURG,BUTLER
16057,SLIPPERY ROCK,BUTLER
16058,TURKEY CITY,CLARION
16101,NEW CASTLE,LAWRENCE
16102,NEW CASTLE,LAWRENCE
16103,NEW CASTLE,LAWRENCE
16110,ADAMSVILLE,CRAWFORD
16111,ATLANTIC,CRAWFORD
16112,BESSEMER,LAWRENCE
16113,CLARK,MERCER
16114,CLARKS MILLS,MERCER
16121,FARRELL,MERCER
16123,FOMBELL,BEAVER
16124,FREDONIA,MERCER
16125,GREENVILLE,MERCER
16018,BOYERS,BUTLER
16020,BOYERS,BUTLER
16021,BRANCHTON,BUTLER
16022,BRUIN,BUTLER
16028,EAST BRADY,CLARION
16029,EAST BUTLER,BUTLER
16030,EAU CLAIRE,BUTLER
16033,EVANS CITY,BUTLER
16038,HARRISVILLE,BUTLER
16039,HERMAN,BUTLER
16040,HILLIARDS,BUTLER
16041,KARNS CITY,BUTLER
16045,LYNDORA,BUTLER
16050,PETROLIA,BUTLER
16051,PORTERSVILLE,BUTLER
16052,PROSPECT,BUTLER
16053,RENFREW,BUTLER
16054,SAINT PETERSBURG,CLARION
16059,VALENCIA,BUTLER
16061,WEST SUNBURY,BUTLER
16063,ZELIENOPLE,BUTLER
16066,CRANBERRY TOWNSHIP,BUTLER
16105,NEW CASTLE,LAWRENCE
16107,NEW CASTLE,LAWRENCE
16108,NEW CASTLE,LAWRENCE
16115,DARLINGTON,BEAVER
16116,EDINBURG,LAWRENCE
16117,ELLWOOD CITY,LAWRENCE
